CODUSU;nro_hogar;realizada;ano4;trimestre;region;mas_500;aglomerado;pondera;iv1;iv1_esp;iv2;iv3;iv3_esp;iv4;iv5;iv6;iv7;iv7_esp;iv8;iv9;iv10;iv11;iv12_1;iv12_2;iv12_3;ii1;ii2;ii3;ii3_1;ii4_1;ii4_2;ii4_3;ii5;ii5_1;ii6;ii6_1;ii7;ii7_esp;ii8;ii8_esp;ii9;v1;v2;v21;v22;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19_a;v19_b;ix_tot;ix_men10;ix_mayeq10;itf;decifr;idecifr;rdecifr;gdecifr;pdecifr;adecifr;ipcf;deccfr;ideccfr;rdeccfr;gdeccfr;pdeccfr;adeccfr;vii1_1;vii1_2;vii2_1;vii2_2;vii2_3;vii2_4;idimph
393378;1;1;2015;2;41;N;8;254;1; ;2;1; ;4;1;1;1; ;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1; ;2; ;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;5000;2;2;3; ;2;3;833,33;1;1;1; ;1;1;1;0;98;0;0;0;0
393382;1;1;2015;2;1;S;32;1043;2; ;2;1; ;9;1;1;1; ;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;5000;2; ;2;2; ;2;5000,00;7; ;7;7; ;5;1;0;97;0;0;0;10000
393384;1;1;2015;2;41;N;8;304;2; ;2;1; ;1;1;1;1; ;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3; ;2; ;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;6000;3;3;4; ;3;4;3000,00;4;4;6; ;4;7;1;2;98;0;0;0;0
393386;1;1;2015;2;40;S;29;331;1; ;4;1; ;4;1;1;1; ;1;1;1;2;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;6;2;4;12000;6;7;7;6; ;7;2000,00;3;3;4;2; ;3;2;0;96;0;0;0;0
393388;1;1;2015;2;43;N;3;231;1; ;3;1; ;2;1;1;1; ;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;18000;8;8;8; ;8;9;6000,00;8;8;7; ;8;7;2;0;98;0;0;0;0
393390;1;1;2015;2;1;S;32;2279;1; ;3;1; ;1;1;1;1; ;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;5;3;2;12000;6; ;6;6; ;5;2400,00;3; ;3;3; ;2;1;2;98;0;0;0;10000
393392;1;1;2015;2;1;S;33;1491;1; ;4;1; ;3;1;1;1; ;1;1;1;1;2;2;2;4;3;1;1;1;1;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;27500;10; ;10;10; ;10;6875,00;8; ;8;8; ;9;2;0;98;0;0;0;10000
393396;1;1;2015;2;44;N;93;70;1; ;4;1; ;4;1;1;1; ;1;1;1;1;2;2;2;4;1;2;0;1;1;2;2;0;2;0;1; ;1; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;10000;5;6;4; ;6;6;10000,00;10;10;8; ;10;10;1;0;96;0;0;0;0
393398;1;1;2015;2;40;S;23;184;1; ;4;1; ;2;1;1;1; ;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;3; ;1; ;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;2;3;0;3;7000;3;4;4;3; ;4;2333,33;3;3;4;3; ;4;1;2;98;0;0;0;0
393398;2;1;2015;2;40;S;23;184;1; ;4;1; ;2;1;1;1; ;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3; ;1; ;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;2;2;2;2;1;0;1;2100;1;1;1;1; ;1;2100,00;3;3;4;3; ;4;1;0;97;0;0;0;0
