CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
TQRMNORUTHJMLPCDEFIAH00498017;2017;1;1;1;43;S;2;534;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;1;1;2;2;2;0;0;0;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQSMNOQSXHKMLMCDEFIAH00469221;2017;1;1;1;43;S;2;551;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;11000;3;3;3;3;  ;3;11000;8;8;8;8;  ;8;1015;1;0;98;0;0;0
TQRMNOPVVHKOLOCDEFIAH00469258;2017;1;1;1;43;S;2;830;1;;2;2;;4;2;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;11000;3;3;3;3;  ;3;5500;4;4;4;4;  ;4;1517;1;0;98;0;0;0
TQRMNOPVYHKOLOCDEFIAH00469262;2017;1;1;1;43;S;2;830;1;;3;1;;4;1;1;1;;1;1;1;3;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;5;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;4;0;0;0
TQRMNOPSUHJNLRCDEFIAH00497935;2017;1;1;1;43;S;2;530;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;1;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOSQUHLMKPCDEFIAH00497959;2017;1;1;1;43;S;2;565;1;;3;4;NO ESPECIFICA;6;1;1;1;;1;1;1;1;1;1;1;3;3;2;0;1;1;1;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;21000;6;7;7;6;  ;7;5250;4;4;4;4;  ;4;1753;2;0;1;0;0;0
TQRMNOQRUHLOKRCDEFIAH00498011;2017;1;1;1;43;S;2;711;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;14500;4;4;4;4;  ;5;7250;6;6;6;6;  ;6;1566;2;0;1;0;0;0
TQRMNOSRUHLOKRCDEFIAH00498019;2017;1;1;1;43;S;2;711;1;;2;1;;4;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;23500;7;7;7;7;  ;8;4700;4;4;3;3;  ;3;1573;1;2;98;0;0;0
TQRMNOPTVHJMKQCDEFIAH00498163;2017;1;1;1;43;S;2;536;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;0;98;0;0;0
TQRMNOQXXHJMKQCDEFIAH00498102;2017;1;1;1;43;S;2;536;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;0;98;0;0;0
