link,coarser_level
20010101,01
20011201,01
20011210,01
20011211,01
20011202,01
20011203,01
20011204,01
20011205,01
20011206,01
20011207,01
20011208,01
20011209,01
20011301,01
20011304,01
20011313,01
20011309,01
20011310,01
20011311,01
20011401,01
20011410,01
20011411,01
20011412,01
20011402,01
20011403,01
20011404,01
20011405,01
20011406,01
20011407,01
20011408,01
20011409,01
20011501,01
20011510,01
20011511,01
20011502,01
20011503,01
20011504,01
20011505,01
20011506,01
20011507,01
20011508,01
20011509,01
20011601,01
20011610,01
20011611,01
20011612,01
20011602,01
20011603,01
20011604,01
20011605,01
20011606,01
20011607,01
20011608,01
20011609,01
20011701,01
20011710,01
20011711,01
20011702,01
20011703,01
20011704,01
20011705,01
20011706,01
20011707,01
20011708,01
20011709,01
20011801,01
20011802,01
20011803,01
20011804,01
20011805,01
20011806,01
20011807,01
20011808,01
20011809,01
20011901,01
20011902,01
20011903,01
20011904,01
20011905,01
20011906,01
20011907,01
20011908,01
20011909,01
20012001,01
20012010,01
20012002,01
20012003,01
20012004,01
20012005,01
20012006,01
20012007,01
20012008,01
20012009,01
20012101,01
20012110,01
20012102,01
20012103,01
20012104,01
20012105,01
20012106,01
20012107,01
20012108,01
20012109,01
20010401,01
20010402,01
20010403,01
20010404,01
20010405,01
20010406,01
20010407,01
20010408,01
20012201,01
20012210,01
20012202,01
20012203,01
20012204,01
20012205,01
20012206,01
20012207,01
20012208,01
20012209,01
20012301,01
20012310,01
20012302,01
20012303,01
20012304,01
20012305,01
20012306,01
20012307,01
20012308,01
20012309,01
20012401,01
20012402,01
20012403,01
20012404,01
20012405,01
20012406,01
20012407,01
20012408,01
20012501,01
20012510,01
20012511,01
20012502,01
20012503,01
20012504,01
20012505,01
20012506,01
20012507,01
20012508,01
20012509,01
20012601,01
20012602,01
20012603,01
20012604,01
20012605,01
20012606,01
20012607,01
20012608,01
20012609,01
20012701,01
20012710,01
20012702,01
20012703,01
20012704,01
20012705,01
20012706,01
20012707,01
20012708,01
20012709,01
20012801,01
20012810,01
20012811,01
20012812,01
20012813,01
20012802,01
20012803,01
20012804,01
20012805,01
20012806,01
20012807,01
20012808,01
20012809,01
